pair_idx,author,category,n_nodes,n_edges,density,avg_clustering,avg_shortest_path_length,num_cliques,max_clique_size,reciprocal_ratio,bad_bad_fraction,largest_scc_size
1,0000-0001-8311-7412,BOTTOM,2000,2000,0.001,0.000,1.999,1999,2,0.001,0.363,1
2,0000-0001-8311-7412,BOTTOM,2000,2000,0.001,0.000,1.999,1999,2,0.001,0.363,1
3,0000-0001-8311-7412,BOTTOM,2000,2000,0.001,0.000,1.999,1999,2,0.001,0.363,1
4,0000-0001-8311-7412,BOTTOM,2000,2000,0.001,0.000,1.999,1999,2,0.001,0.363,1
5,0000-0001-8311-7412,BOTTOM,2000,2000,0.001,0.000,1.999,1999,2,0.001,0.363,1
4,0000-0001-5404-7996,RANDOM,2000,2262,0.001,0.121,2.6143651825912957,2003,4,0.003,0.114,2
5,0000-0001-5514-8588,RANDOM,2000,2219,0.001,0.096,2.567825412706353,2006,4,0.003,0.059,2
3,0000-0001-5449-9642,RANDOM,2000,3073,0.002,0.326,2.897175587793897,2009,5,0.006,0.047,5
1,0000-0001-5024-508X,RANDOM,2000,2017,0.001,0.008,2.4275887943971988,1998,3,0.001,0.000,1
2,0000-0001-5221-878X,RANDOM,2000,2223,0.001,0.111,2.3783951975987994,1998,3,0.002,0.000,2
