issn,subject
14196441,1.0
26853477,1.0
27160963,1.0
23343427,1.0
26521687,1.0
2656677X,1.0
27228819,1.0
14120674,1.0
2407554X,1.0
25278118,1.0
01499009,1.0
25351931,1.0
25945033,1.0
20077149,1.0
26219026,1.0
26416247,1.0
18162134,1.0
10248714,1.0
20329253,1.0
23367148,1.0
25747770,1.0
24158844,1.0
20881231,1.0
25804499,1.0
19978669,1.0
26634910,1.0
00471801,1.0
23171367,1.0
25154273,1.0
26208342,1.0
26341468,1.0
27152596,1.0
23493429,1.0
23076429,1.0
23545992,1.0
25823736,1.0
26362759,1.0
26126915,1.0
27456951,1.0
23384328,1.0
19786581,1.0
23499362,1.0
12293318,1.0
27223167,1.0
24249653,1.0
14352869,1.0
03875911,1.0
25415972,1.0
25824406,1.0
19781652,1.0
27127591,1.0
26544458,1.0
25298038,1.0
26687194,1.0
2575825X,1.0
03539474,1.0
26863030,1.0
19951477,1.0
25275631,1.0
21996040,1.0
23774630,1.0
25275704,1.0
27832031,1.0
25769529,1.0
25187252,1.0
26034840,1.0
09762876,1.0
27223469,1.0
2735346X,1.0
22225455,1.0
2640284X,1.0
03943410,1.0
18197973,1.0
01017004,1.0
25826301,1.0
26746816,1.0
25272721,1.0
26177765,1.0
1414512X,1.0
20768958,1.0
25729594,1.0
26770660,1.0
27468976,1.0
23122854,1.0
20103646,1.0
21620903,1.0
05700116,1.0
22346252,1.0
15987558,1.0
18131948,1.0
23135727,1.0
09130071,1.0
26861437,1.0
03871193,1.0
26414317,1.0
20665563,1.0
10294864,1.0
09472177,1.0
20574517,1.0
27071030,1.0
26230690,1.0
01622897,1.0
19187750,1.0
18577172,1.0
21967261,1.0
2311424X,1.0
24090239,1.0
23130571,1.0
23442301,1.0
20907303,1.0
21816131,1.0
2613991X,1.0
26863146,1.0
20854587,1.0
27176428,1.0
2578658X,1.0
13067656,1.0
26162741,1.0
26885107,1.0
22232427,1.0
24688290,1.0
19277229,1.0
25786369,1.0
0304596X,1.0
25493051,1.0
25805827,1.0
24611247,1.0
25483447,1.0
25493698,1.0
2355875X,1.0
19070772,1.0
23755776,1.0
00249602,1.0
0009479X,1.0
1121421X,1.0
20050607,1.0
00426857,1.0
26321254,1.0
1979858X,1.0
23946709,1.0
2227488X,1.0
2012855X,1.0
19821662,1.0
2571662X,1.0
21458480,1.0
26442833,1.0
27766500,1.0
2454342X,1.0
23802367,1.0
2168152X,1.0
26861887,1.0
18053238,1.0
23018607,1.0
21469903,1.0
26166127,1.0
26436736,1.0
25267043,1.0
14279657,1.0
27456544,1.0
23263431,1.0
26407930,1.0
21751609,1.0
23092254,1.0
22525254,1.0
19768745,1.0
24556327,1.0
18697003,1.0
18824978,1.0
20621655,1.0
25801244,1.0
00326313,1.0
2226146X,1.0
26312735,1.0
17382580,1.0
12262889,1.0
19768036,1.0
17380979,1.0
09475362,1.0
19295030,1.0
26568624,1.0
23554185,1.0
26135965,1.0
26567202,1.0
19071736,1.0
20880669,1.0
23561955,1.0
23805412,1.0
24428566,1.0
19913877,1.0
0215837X,1.0
2442255X,1.0
26731401,1.0
01115499,1.0
15493199,1.0
18825567,1.0
11101415,1.0
08538964,1.0
09153535,1.0
23951982,1.0
23207094,1.0
18103111,1.0
12296538,1.0
2535163X,1.0
25414658,1.0
1391491X,1.0
25094580,1.0
23221348,1.0
25976257,1.0
20513615,1.0
18077307,1.0
27751082,1.0
1968469X,1.0
24985368,1.0
25187937,1.0
17435447,1.0
27177696,1.0
23116099,1.0
27218368,1.0
26382091,1.0
25022806,1.0
19782071,1.0
27154572,1.0
25748254,1.0
23383119,1.0
27224244,1.0
19490194,1.0
25961306,1.0
25897799,1.0
25786180,1.0
23825014,1.0
23069929,1.0
13917536,1.0
27353346,1.0
26545721,1.0
24132888,1.0
22322620,1.0
15590119,1.0
27078035,1.0
20546211,1.0
15173275,1.0
2194573X,1.0
17275741,1.0
27136892,1.0
16931556,1.0
22775447,1.0
14111829,1.0
20683987,1.0
27089843,1.0
15780007,1.0
26865793,1.0
18216404,1.0
27457192,1.0
21981310,1.0
00487619,1.0
01259717,1.0
16771168,1.0
18873731,1.0
17527767,1.0
1598026X,1.0
26350319,1.0
21761507,1.0
20088892,1.0
24496723,1.0
25797913,1.0
25800981,1.0
2682275X,1.0
26868849,1.0
27472760,1.0
26561336,1.0
26205505,1.0
25411322,1.0
1345112X,1.0
25740350,1.0
25822985,1.0
23272635,1.0
17896983,1.0
26571439,1.0
09746471,1.0
1640324X,1.0
2329521X,1.0
22368612,1.0
18050603,1.0
02423960,1.0
00039829,1.0
26924625,1.0
1412565X,1.0
24774022,1.0
26823985,1.0
26416271,1.0
08674043,1.0
26635283,1.0
24070807,1.0
25257870,1.0
25823973,1.0
23488379,1.0
19942370,1.0
14120550,1.0
20867352,1.0
14152177,1.0
24688932,1.0
17851270,1.0
18526217,1.0
25229753,1.0
27152448,1.0
2707501X,1.0
25753754,1.0
18584837,1.0
1418477X,1.0
08314985,1.0
22257756,1.0
25774301,1.0
00351733,1.0
19783108,1.0
25646567,1.0
25027190,1.0
20573324,1.0
26164426,1.0
0120971X,1.0
03039021,1.0
27754146,1.0
24690090,1.0
27162419,1.0
26215047,1.0
25410105,1.0
21935203,1.0
23172770,1.0
2559723X,1.0
2519478X,1.0
25439391,1.0
19936400,1.0
23945311,1.0
23570121,1.0
18787762,1.0
20887051,1.0
22268561,1.0
19946260,1.0
26912252,1.0
18430791,1.0
26179806,1.0
25449214,1.0
20854056,1.0
21948976,1.0
2078399X,1.0
25727176,1.0
21969647,1.0
24479896,1.0
22207457,1.0
21645566,1.0
16873920,1.0
13110624,1.0
25789368,1.0
1137005X,1.0
25991221,1.0
2378346X,1.0
11164182,1.0
26011689,1.0
25247832,1.0
14350017,1.0
01323423,1.0
17588715,1.0
10185275,1.0
20912854,1.0
23939141,1.0
20899580,1.0
25232894,1.0
18028527,1.0
23015810,1.0
25081128,1.0
23475536,1.0
09169482,1.0
25491741,1.0
25286137,1.0
22334289,1.0
24591726,1.0
19437765,1.0
25735985,1.0
03767892,1.0
26418320,1.0
2581527X,1.0
26950723,1.0
2616955X,1.0
15602133,1.0
0374342X,1.0
25756974,1.0
23169451,1.0
18202411,1.0
27069109,1.0
15513211,1.0
12257559,1.0
0044166X,1.0
26891069,1.0
09732209,1.0
13495747,1.0
18674305,1.0
2178602X,1.0
21451389,1.0
24093386,1.0
2763583X,1.0
02506882,1.0
23291648,1.0
13616579,1.0
18705308,1.0
27080056,1.0
01040219,1.0
27665003,1.0
25483374,1.0
2331513X,1.0
24741353,1.0
23783656,1.0
1229392X,1.0
2411989X,1.0
2614607X,1.0
27216926,1.0
22272437,1.0
27184153,1.0
26898772,1.0
23555661,1.0
23409096,1.0
25755064,1.0
26162725,1.0
17354374,1.0
21412626,1.0
17387620,1.0
23206632,1.0
09564748,1.0
16769783,1.0
16161963,1.0
23325518,1.0
14753928,1.0
23202645,1.0
13487922,1.0
23191422,1.0
26647966,1.0
23145501,1.0
21693439,1.0
26965631,1.0
02573490,1.0
20050860,1.0
27076946,1.0
19846576,1.0
20852444,1.0
20128169,1.0
27160440,1.0
27456838,1.0
14114283,1.0
24568791,1.0
22384634,1.0
01012908,1.0
27231755,1.0
26204746,1.0
27175804,1.0
27389812,1.0
05355133,1.0
26212536,1.0
26905949,1.0
26685817,1.0
27216683,1.0
21723168,1.0
03408078,1.0
15530612,1.0
18593836,1.0
26140209,1.0
18396291,1.0
26160323,1.0
25002910,1.0
26849666,1.0
25431854,1.0
18910890,1.0
17356954,1.0
21887578,1.0
03655148,1.0
10263543,1.0
23114312,1.0
05566274,1.0
19805128,1.0
23714972,1.0
23386223,1.0
0121246X,1.0
04469283,1.0
19788282,1.0
21556393,1.0
25787276,1.0
13408267,1.0
25807978,1.0
25751867,1.0
26402750,1.0
25278878,1.0
22186182,1.0
24726419,1.0
23623845,1.0
13706209,1.0
24137189,1.0
21819939,1.0
24136433,1.0
27920070,1.0
19939868,1.0
27075036,1.0
23453362,1.0
25735454,1.0
22529764,1.0
2664276X,1.0
25190296,1.0
21758239,1.0
26564912,1.0
22518517,1.0
17275725,1.0
24122262,1.0
21786925,1.0
26141140,1.0
25786520,1.0
24370665,1.0
26865564,1.0
25865242,1.0
24779237,1.0
21484724,1.0
16586786,1.0
23607793,1.0
1658645X,1.0
1412436X,1.0
25979841,1.0
10815937,1.0
09121870,1.0
20867174,1.0
27221431,1.0
23562145,1.0
19785003,1.0
01210793,1.0
2695074X,1.0
25369768,1.0
25286250,1.0
27246442,1.0
2087166X,1.0
22790888,1.0
19764227,1.0
26901900,1.0
27458628,1.0
08541272,1.0
13476416,1.0
13682156,1.0
20873921,1.0
23019913,1.0
14815974,1.0
23033746,1.0
24774375,1.0
08541221,1.0
23338512,1.0
22263276,1.0
02169940,1.0
26023768,1.0
20477244,1.0
19973438,1.0
2442448X,1.0
19848773,1.0
1438776X,1.0
26399938,1.0
23741155,1.0
22536469,1.0
27148130,1.0
25492896,1.0
24561436,1.0
22203176,1.0
16655672,1.0
2575906X,1.0
2395938X,1.0
2359182X,1.0
0739098X,1.0
12299219,1.0
1409309X,1.0
26650169,1.0
23307269,1.0
25026011,1.0
23181540,1.0
18071597,1.0
23818921,1.0
