issn,subject
16604601,1.0
00284793,1.0
14220067,1.0
01406736,1.0
16643224,1.0
25743805,1.0
22147853,1.0
00456535,1.0
00987484,1.0
0732183X,1.0
17561833,1.0
20726694,1.0
09441344,1.0
09608524,1.0
10788956,1.0
20726643,1.0
03014797,1.0
20770383,1.0
01492195,1.0
20446055,1.0
00064971,1.0
03088146,1.0
2234943X,1.0
26431564,1.0
0195668X,1.0
00097322,1.0
02697491,1.0
00079235,1.0
1664302X,1.0
17489326,1.0
20734409,1.0
07351097,1.0
2050084X,1.0
22962565,1.0
16639812,1.0
01418130,1.0
14712458,1.0
14702045,1.0
23048158,1.0
16640640,1.0
01650327,1.0
17551307,1.0
10584838,1.0
20762615,1.0
09237534,1.0
01688278,1.0
17578981,1.0
2296858X,1.0
21983844,1.0
16642392,1.0
20762607,1.0
01495992,1.0
2076393X,1.0
14733099,1.0
20966075,1.0
19994915,1.0
10780432,1.0
14388871,1.0
00165085,1.0
01476513,1.0
16875265,1.0
16642295,1.0
1664042X,1.0
00283878,1.0
22279059,1.0
2297055X,1.0
16648021,1.0
21598274,1.0
23993642,1.0
20479980,1.0
19919603,1.0
21595399,1.0
00314005,1.0
2296861X,1.0
00014575,1.0
14726963,1.0
23742437,1.0
22277102,1.0
1073449X,1.0
24739529,1.0
25895370,1.0
20597908,1.0
0264410X,1.0
19466234,1.0
22352988,1.0
00104825,1.0
2168622X,1.0
22132600,1.0
02709139,1.0
15356108,1.0
00034819,1.0
07533322,1.0
22279032,1.0
21686203,1.0
20734425,1.0
20511426,1.0
21686106,1.0
2214109X,1.0
14681218,1.0
00392499,1.0
10747613,1.0
20796382,1.0
22964185,1.0
13618415,1.0
21678359,1.0
00916749,1.0
00068950,1.0
15292908,1.0
15491676,1.0
20402295,1.0
15423565,1.0
00029378,1.0
20760817,1.0
13594184,1.0
02782715,1.0
25425196,1.0
15588238,1.0
09598049,1.0
14706423,1.0
15525260,1.0
00085472,1.0
09565663,1.0
09031936,1.0
00175749,1.0
22971769,1.0
00034967,1.0
23523964,1.0
15560864,1.0
00123692,1.0
09257535,1.0
15228517,1.0
22962360,1.0
22150366,1.0
20754426,1.0
08848734,1.0
